+Articles 	 AryaH/hinduism/AchAraH/kriyAH/pUjA/articles/
+अध्याचारम् 	 AryaH/hinduism/AchAraH/
+आगमः 	 
+आर्यः 	 AryaH/
+क्रियाः 	 AryaH/hinduism/AchAraH/kriyAH/
+पूजा 	 AryaH/hinduism/AchAraH/kriyAH/pUjA/
+मानसतरङ्गिणीकृल्-लेखाः 	 AryaH/hinduism/AchAraH/kriyAH/pUjA/articles/MT_lekhAH/
+हैन्दवः 	 AryaH/hinduism/
IndoEuropean expansions 	 AryaH/hinduism/AchAraH/kriyAH/pUjA/articles/MT_lekhAH/2022-04-25_indo-european-expansions-and-iconography-revisitin/
+Articles 	 AryaH/hinduism/tattvam/mantraH/articles/
+Suchness तत्त्वम् 	 AryaH/hinduism/tattvam/
+अधिमन्त्रम् 	 AryaH/hinduism/tattvam/mantraH/
On the necessity of 	 AryaH/hinduism/tattvam/mantraH/articles/2022-03-27_on-the-necessity-of-mantrasiddhi-and-its-primary-/
+Articles 	 AryaH/hinduism/branches/mishram/hindu-id/articles/
+Branches 	 AryaH/hinduism/branches/
+Hindu ID 	 AryaH/hinduism/branches/mishram/hindu-id/
+मिश्रम् 	 AryaH/hinduism/branches/mishram/
Defining Hindudharma 	 AryaH/hinduism/branches/mishram/hindu-id/articles/2021-03-28_defining-hindudharma-the-tanunaptra-metaphor/
+Articles 	 AryaH/hinduism/social-cultivation/clan/theory/articles/
+Clans 	 AryaH/hinduism/social-cultivation/clan/
+Social cultivation 	 AryaH/hinduism/social-cultivation/
+varNa theory 	 AryaH/hinduism/social-cultivation/clan/theory/
Class, Caste, and Genes 	 AryaH/hinduism/social-cultivation/clan/theory/articles/2012-01-13_class-caste-and-genes/
+कौमारः 	 AryaH/hinduism/branches/kaumAraH/
+मानसतरङ्गिणीकृल्-लेखाः 	 AryaH/hinduism/branches/kaumAraH/MT_lekhAH/
shrI rAmAnuja deshika, one of the last great kaumAra tantrics 	 AryaH/hinduism/branches/kaumAraH/MT_lekhAH/2007-01-14_shri-ramanuja-deshika-one-of-the-last-great-kaumara-tantrics/
+अधिवैष्णवम् 	 AryaH/hinduism/branches/vaiShNavaH/meta/
+मानसतरङ्गिणीकृल्-लेखाः 	 AryaH/hinduism/branches/vaiShNavaH/meta/MT_lekhAH/
+वैष्णवः 	 AryaH/hinduism/branches/vaiShNavaH/
The sarvAtman hymn to viShNu 	 AryaH/hinduism/branches/vaiShNavaH/meta/MT_lekhAH/2006-12-31_the-sarvatman-hymn-to-vishnu/
+Articles 	 AryaH/hinduism/articles/
+तन्त्रागमाः 	 AryaH/hinduism/articles/tantrAgamAH/
+मानसतरङ्गिणीकृल्-लेखाः 	 AryaH/hinduism/articles/MT/
+मानसतरङ्गिणीकृल्-लेखाः 	 AryaH/hinduism/articles/tantrAgamAH/MT/
On darshanas 	 AryaH/hinduism/articles/MT/2006-12-28_on-darshanas/
On darshanas 	 AryaH/hinduism/articles/tantrAgamAH/MT/2006-12-28_on-darshanas/
+Meta 	 AryaH/jainaH/meta/
+जैनः 	 AryaH/jainaH/
+मानसतरङ्गिणीकृल्-लेखाः 	 AryaH/jainaH/meta/MT_lekhAH/
More encounters with padmAvatI and the tantras of the jaina nAstikas 	 AryaH/jainaH/meta/MT_lekhAH/2006-12-20_more-encounters-with-padmavati-and-the-tantras-of-the-jaina-nastikas/
+Articles 	 meta/articles/
+अध्यागमम् 	 meta/
+मानसतरङ्गिणीकृल्-लेखाः 	 meta/articles/MT_lekhAH/
Oldest archaeological signs of ritual? 	 meta/articles/MT_lekhAH/2006-12-04_oldest-archaeological-signs-of-ritual/
ekAnaMshA in nAstIka myth-making and implications for AstIka Paurano-Tantric history 	 AryaH/hinduism/branches/vaiShNavaH/meta/MT_lekhAH/2006-11-01_ekanamsha-in-nastika-myth-making-and-implications-for-astika-paurano-tantric-history/
+मानसतरङ्गिणीकृल्-लेखाः 	 AryaH/hinduism/branches/sauraH/MT_lekhAH/
+सौरः 	 AryaH/hinduism/branches/sauraH/
Some more observations on the saura mata 	 AryaH/hinduism/branches/sauraH/MT_lekhAH/2006-10-21_some-more-observations-on-the-saura-mata/
The iconography of diverse goddesses 	 AryaH/hinduism/articles/tantrAgamAH/MT/2006-10-06_the-iconography-of-diverse-goddesses/
+Articles 	 AryaH/hinduism/tattvam/articles/
+मानसतरङ्गिणीकृल्-लेखाः 	 AryaH/hinduism/tattvam/articles/MT/
Hindus on the hard problem 	 AryaH/hinduism/tattvam/articles/MT/2006-10-02_hindus-on-the-hard-problem/
The worship of the pa~nchAkSharI vidyA of shiva 	 AryaH/hinduism/AchAraH/kriyAH/pUjA/articles/MT_lekhAH/2006-09-20_the-worship-of-the-panchakshari-vidya-of-shiva/
The mahAkaumara mantras in AstIka and nAstIka parlance 	 AryaH/hinduism/branches/kaumAraH/MT_lekhAH/2006-09-06_the-mahakaumara-mantras-in-astika-and-nastika-parlance/
+अङ्गानि 	 AryaH/hinduism/AchAraH/kriyAH/angAni/
+मानसतरङ्गिणीकृल्-लेखाः 	 AryaH/hinduism/AchAraH/kriyAH/angAni/dravyam/MT_lekhAH/
Iconography of varAhamihira 	 AryaH/hinduism/AchAraH/kriyAH/angAni/dravyam/MT_lekhAH/2006-09-05_iconography-of-varahamihira/
द्रव्याणि 	 AryaH/hinduism/AchAraH/kriyAH/angAni/dravyam/
+Articles 	 AryaH/hinduism/AchAraH/kriyAH/homaH/articles/
+मानसतरङ्गिणीकृल्-लेखाः 	 AryaH/hinduism/AchAraH/kriyAH/homaH/articles/MT_lekhAH/
+होमः 	 AryaH/hinduism/AchAraH/kriyAH/homaH/
Simplified homA-vidhAnaM 	 AryaH/hinduism/AchAraH/kriyAH/homaH/articles/MT_lekhAH/2006-08-06_simplified-homa-vidhanam/
mahAvaiShNava krama 	 AryaH/hinduism/AchAraH/kriyAH/pUjA/articles/MT_lekhAH/2006-08-05_mahavaishnava-krama/
avyakta origin mythology 	 AryaH/hinduism/branches/vaiShNavaH/meta/MT_lekhAH/2006-07-31_avyakta-origin-mythology/
“Tantric” upaniShad-s and their role in Hindu thought 	 AryaH/hinduism/articles/tantrAgamAH/MT/2006-07-29_tantric-upanishad-s-and-their-role-in-hindu-thought/
+मानसतरङ्गिणीकृल्-लेखाः 	 AryaH/hinduism/branches/shAktaH/MT_lekhAH/
+शाक्तः 	 AryaH/hinduism/branches/shAktaH/
shrIvidyA beyond the pa~nchadashI and classical phase 	 AryaH/hinduism/branches/shAktaH/MT_lekhAH/2006-07-23_shrividya-beyond-the-panchadashi-and-classical-phase/
List of pA~ncharatra tantra-s 	 AryaH/hinduism/branches/vaiShNavaH/meta/MT_lekhAH/2006-06-01_list-of-pancharatra-tantra-s/
+Articles 	 AryaH/bauddhaH/meta/articles/
+अधिवबौद्धम् 	 AryaH/bauddhaH/meta/
+बौद्धः 	 AryaH/bauddhaH/
+मानसतरङ्गिणीकृल्-लेखाः 	 AryaH/bauddhaH/meta/articles/MT_lekhAH/
Mysterious early mahA-chInAchArya-s 	 AryaH/bauddhaH/meta/articles/MT_lekhAH/2006-04-30_mysterious-early-maha-chinacharya-s/
The hAdi krama 	 AryaH/hinduism/branches/shAktaH/MT_lekhAH/2006-04-15_the-hadi-krama/
Notes on early pAncharAtra vaiShNavism 	 AryaH/hinduism/branches/vaiShNavaH/meta/MT_lekhAH/2006-03-27_notes-on-early-pancharatra-vaishnavism/
shrI vidyAraNaya yati and his shrIvidyArNava 	 AryaH/hinduism/articles/tantrAgamAH/MT/2006-03-26_shri-vidyaranaya-yati-and-his-shrividyarnava/
shrI shyAmol rAm’s exposition of mahAchInakrama 	 AryaH/hinduism/branches/shAktaH/MT_lekhAH/2006-02-25_shri-shyamol-rams-exposition-of-mahachinakrama/
A note on the vaikhAnasa tradition 	 AryaH/hinduism/branches/vaiShNavaH/meta/MT_lekhAH/2006-02-16_a-note-on-the-vaikhanasa-tradition/
The herb grids of the kubjikA mata 	 AryaH/hinduism/branches/shAktaH/MT_lekhAH/2006-02-03_the-herb-grids-of-the-kubjika-mata/
+Articles 	 AryaH/hinduism/social-cultivation/dharma/Ashrama/vivAhaH/articles/
+आश्रमः Life-stages 	 AryaH/hinduism/social-cultivation/dharma/Ashrama/
+धर्मः Responsibility 	 AryaH/hinduism/social-cultivation/dharma/
+मानसतरङ्गिणीकृल्-लेखाः 	 AryaH/hinduism/social-cultivation/dharma/Ashrama/vivAhaH/articles/MT_lekhAH/
+विवाहः 	 AryaH/hinduism/social-cultivation/dharma/Ashrama/vivAhaH/
Delusions 	 AryaH/hinduism/social-cultivation/dharma/Ashrama/vivAhaH/articles/MT_lekhAH/2006-01-12_delusions/
saura mata 	 AryaH/hinduism/branches/sauraH/MT_lekhAH/2005-11-21_saura-mata/
+Articles 	 AryaH/hinduism/branches/vaiShNavaH/mahAnubhAvaH/articles/
+mahAnubhAva 	 AryaH/hinduism/branches/vaiShNavaH/mahAnubhAvaH/
+मानसतरङ्गिणीकृल्लेखाः 	 AryaH/hinduism/branches/vaiShNavaH/mahAnubhAvaH/articles/MT/
The cracks in the edifice. 	 AryaH/hinduism/branches/vaiShNavaH/mahAnubhAvaH/articles/MT/2005-11-13_the-cracks-in-the-edifice/
Royal kumAra worshippers 	 AryaH/hinduism/branches/kaumAraH/MT_lekhAH/2005-10-28_royal-kumara-worshippers/
+Articles 	 AryaH/hinduism/AchAraH/kriyAH/prAyashcittam/articles/
+प्रायश्चित्तम् 	 AryaH/hinduism/AchAraH/kriyAH/prAyashcittam/
+मानसतरङ्गिणीकृल्-लेखाः 	 AryaH/hinduism/AchAraH/kriyAH/prAyashcittam/articles/MT/
pApapuruSha krama 	 AryaH/hinduism/AchAraH/kriyAH/prAyashcittam/articles/MT/2005-10-04_papapurusha-krama/
+गाणपत्यम् 	 AryaH/hinduism/branches/gANapatyam/
+मानसतरङ्गिणीकृल्-लेखाः 	 AryaH/hinduism/branches/gANapatyam/MT_lekhAH/
The odd Cambodian inscription of vinAyaka 	 AryaH/hinduism/branches/gANapatyam/MT_lekhAH/2005-09-07_the-odd-cambodian-inscription-of-vinayaka/
The lineage of the viShNu tantras 	 AryaH/hinduism/branches/vaiShNavaH/meta/MT_lekhAH/2005-08-06_the-lineage-of-the-vishnu-tantras/
The heart of vArAhI 	 AryaH/hinduism/branches/shAktaH/MT_lekhAH/2005-05-02_the-heart-of-varahi/
A Japanese gANApatya text 	 AryaH/hinduism/branches/gANapatyam/MT_lekhAH/2005-04-30_a-japanese-ganapatya-text/
rAmAnujAchArya’s encounter with the chera magicians 	 AryaH/hinduism/branches/vaiShNavaH/meta/MT_lekhAH/2005-04-26_ramanujacharyas-encounter-with-the-chera-magicians/
The AmnAyas of the chi~nchinI-mata-sAra-sammuchaya 	 AryaH/hinduism/branches/shAktaH/MT_lekhAH/2005-04-24_the-amnayas-of-the-chinchini-mata-sara-sammuchaya/
The tantric manual of the atharvan-a~Ngiras 	 AryaH/hinduism/branches/shAktaH/MT_lekhAH/2005-04-23_the-tantric-manual-of-the-atharvan-angiras/
Formal definition of the shrichakra 	 AryaH/hinduism/branches/shAktaH/MT_lekhAH/2005-04-09_formal-definition-of-the-shrichakra/
Forms of the pratya~NgirA R^ik 	 AryaH/hinduism/branches/shAktaH/MT_lekhAH/2005-03-05_forms-of-the-pratyangira-rik/
mayurashikhA 	 AryaH/hinduism/branches/kaumAraH/MT_lekhAH/2005-03-03_mayurashikha/
pratya~NgirA and kR^ityA prayoga 	 AryaH/hinduism/branches/shAktaH/MT_lekhAH/2005-02-20_pratyangira-and-kritya-prayoga/
Mythologists 	 meta/articles/MT_lekhAH/2004-12-24_mythologists/
The jaina view 	 AryaH/jainaH/meta/MT_lekhAH/2004-09-24_the-jaina-view/
+Articles 	 AryaH/hinduism/branches/nyAya-vaisheShike/articles/
+MT 	 AryaH/hinduism/branches/nyAya-vaisheShike/articles/MT/
+न्याय-वैशेषिके 	 AryaH/hinduism/branches/nyAya-vaisheShike/
maitreya’s atomism 	 AryaH/hinduism/branches/nyAya-vaisheShike/articles/MT/2004-09-18_maitreyas-atomism/
The deadly foe-destroying yoga of brahmaNya deva 	 AryaH/hinduism/branches/kaumAraH/MT_lekhAH/2004-09-12_the-deadly-foe-destroying-yoga-of-brahmanya-deva/
penance for illicit foods 	 AryaH/hinduism/AchAraH/kriyAH/prAyashcittam/articles/MT/2004-09-05_penance-for-illicit-foods/
+Articles 	 AryaH/hinduism/AchAraH/kriyAH/utsavAH/articles/
+उत्सवाः 	 AryaH/hinduism/AchAraH/kriyAH/utsavAH/
